planned_lead_time_hours,release_lag_hours,schedule_revision_count,is_expedited,priority_encoded,quantity,operation_count,estimated_total_hours,schedule_tightness_ratio,product_complexity_score,material_bom_complexity,is_month_end,is_quarter_end,machine_utilization_at_release,work_center_queue_depth_at_release,machine_oee_30d,machine_unplanned_downtime_hours_30d,days_since_last_planned_maintenance,maintenance_due_within_order_window,changeover_required,changeover_complexity_score,operator_experience_months,operator_skill_tier_encoded,operator_concurrent_order_count,hours_into_shift_at_start,shift_type_encoded,material_availability_at_release,component_shortage_count,product_delay_rate_90d,machine_delay_rate_90d,operator_delay_rate_90d,product_x_machine_delay_rate_90d,product_first_pass_yield_90d,machine_setup_overrun_rate_90d,shift_delay_rate_30d,planned_start_day_of_week,planned_start_hour,is_delayed,delay_minutes,delay_category,delay_root_cause,order_id,po_number,product_id,machine_id,operator_id,priority,shift_type,planned_start,actual_end
5.1604264925,0.8963076963145168,0.0,0,2,4,7,2.599249581912443,0.6095631257335029,0.85,8,0,0,0.0,0.0,0.8229537247481674,0.0,46.037346154016205,0,0,1.0,21,1.0,0.0,2.0,0,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,8,0,0,on_time,none,ORD-000008,PO-00008,PROD-014,MACH-008,OPR-005,high,morning,2023-01-02T08:53:46.707707,2023-01-02T11:30:51.682495
8.007098616666667,3.4423807724359547,0.0,0,1,15,1,2.337553248429997,0.5120915088648568,0.25,2,0,0,0.0,0.0,0.8592034781674296,0.0,66.1434325321875,0,0,1.0,21,1.0,0.0,5.0,0,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,11,0,0,on_time,none,ORD-000001,PO-00001,PROD-005,MACH-001,OPR-005,normal,morning,2023-01-02T11:26:32.570781,2023-01-02T13:48:34.876988
49.36977230666667,5.704867272555429,0.0,0,2,98,6,28.957240147244967,0.6631696582095221,0.85,7,0,0,0.0,0.0,0.8253880898710658,0.0,30.237702803020834,0,0,1.0,34,1.0,0.0,7.0,0,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,13,0,0,on_time,none,ORD-000004,PO-00004,PROD-012,MACH-004,OPR-006,high,morning,2023-01-02T13:42:17.522181,2023-01-04T01:10:42.782637
10.729079130833332,6.5385913973609755,0.0,0,1,11,4,1.9867521206636511,0.4741099955427773,0.55,5,0,0,0.09863780332175925,0.0,0.8584187412665641,0.0,66.2724413082176,0,1,1.7196639049594102,16,1.0,0.0,0.0,1,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,14,0,0,on_time,none,ORD-000010,PO-00010,PROD-010,MACH-001,OPR-014,normal,afternoon,2023-01-02T14:32:18.929030,2023-01-02T16:27:55.654344
8.838592303611112,7.302942808501759,0.0,0,2,9,2,1.1232978646679235,0.7314806330136917,0.25,2,0,0,0.0,0.0,0.776964575923477,0.0,48.30428928369213,0,0,1.0,16,1.0,0.0,1.0,1,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,15,0,0,on_time,none,ORD-000002,PO-00002,PROD-004,MACH-002,OPR-014,high,afternoon,2023-01-02T15:18:10.594111,2023-01-02T16:18:50.386922
22.7007240825,8.992691719885903,0.0,0,2,60,2,9.31058854060996,0.6792067814295799,0.55,4,0,0,0.0,0.0,0.7170595091382211,0.0,32.37469548833333,0,0,1.0,178,2.0,0.0,2.0,1,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,16,0,0,on_time,none,ORD-000007,PO-00007,PROD-008,MACH-007,OPR-016,high,afternoon,2023-01-02T16:59:33.690192,2023-01-03T02:34:11.721187
22.588985938611113,10.593693850496582,0.0,0,2,55,5,8.66761393280948,0.7225846498164061,0.55,5,0,0,0.0,0.0,0.7817253311223112,0.0,20.441403910439817,0,0,1.0,16,1.0,0.0,4.0,1,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,18,0,0,on_time,none,ORD-000006,PO-00006,PROD-007,MACH-006,OPR-014,high,afternoon,2023-01-02T18:35:37.297862,2023-01-03T03:26:01.861031
19.31513087527778,11.140398971823435,0.0,0,2,32,2,5.199675083646588,0.6360667414127462,0.55,4,0,0,0.0,0.0,0.9048628777578778,0.0,35.46418329049769,0,0,1.0,44,1.0,0.0,5.0,1,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.358,0.0,19,0,0,on_time,none,ORD-000003,PO-00003,PROD-008,MACH-003,OPR-011,high,afternoon,2023-01-02T19:08:25.436299,2023-01-03T00:36:32.488500
6.656046645833333,0.8,0.0,0,2,25,4,3.770633037604792,0.6438871248095086,0.55,5,0,0,0.39905128466435186,0.0,0.686771020100256,0.0,33.03333333333333,0,1,2.6799038753450306,69,2.0,0.0,2.0,0,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.0,1.0,8,1,214,moderate_delay,multiple_causes,ORD-000014,PO-00014,PROD-010,MACH-007,OPR-008,high,morning,2023-01-03T08:48:00,2023-01-03T18:13:57.696953
12.654322619166667,1.4733640468926192,0.0,1,3,21,5,10.277289674729642,0.91917786909286,0.85,9,0,0,0.3683398514930556,1.0,0.7929799061624528,0.0,21.061390168622687,0,1,1.8597080463878546,180,2.0,0.0,3.0,0,1,0.0,0.343,0.347,0.354,0.342,0.916,0.521,0.25,1.0,9,1,148,moderate_delay,setup_overrun,ORD-000018,PO-00018,PROD-013,MACH-006,OPR-007,critical,morning,2023-01-03T09:28:24.110569,2023-01-03T23:07:16.612168
